record_id,customer_id,region_id,group,segment,contact_date,converted,conversion_window_end_date,source_file
2026q2-conv-0001,2026q2-jeju-treatment-0001,jeju,treatment,domestic,2026-05-02,N,2026-05-09,pilot_conversion_2026q2.csv
2026q2-conv-0002,2026q2-jeju-treatment-0002,jeju,treatment,domestic,2026-06-04,N,2026-06-11,pilot_conversion_2026q2.csv
2026q2-conv-0003,2026q2-jeju-treatment-0003,jeju,treatment,domestic,2026-05-12,N,2026-05-19,pilot_conversion_2026q2.csv
2026q2-conv-0004,2026q2-jeju-treatment-0004,jeju,treatment,tourist,2026-05-07,N,2026-05-14,pilot_conversion_2026q2.csv
2026q2-conv-0005,2026q2-jeju-treatment-0005,jeju,treatment,domestic,2026-06-07,N,2026-06-14,pilot_conversion_2026q2.csv
2026q2-conv-0006,2026q2-jeju-treatment-0006,jeju,treatment,tourist,2026-05-13,N,2026-05-20,pilot_conversion_2026q2.csv
2026q2-conv-0007,2026q2-jeju-treatment-0007,jeju,treatment,domestic,2026-05-01,N,2026-05-08,pilot_conversion_2026q2.csv
2026q2-conv-0008,2026q2-jeju-treatment-0008,jeju,treatment,tourist,2026-05-28,N,2026-06-04,pilot_conversion_2026q2.csv
2026q2-conv-0009,2026q2-jeju-treatment-0009,jeju,treatment,tourist,2026-05-01,N,2026-05-08,pilot_conversion_2026q2.csv
2026q2-conv-0010,2026q2-jeju-treatment-0010,jeju,treatment,domestic,2026-05-01,N,2026-05-08,pilot_conversion_2026q2.csv
2026q2-conv-0011,2026q2-jeju-treatment-0011,jeju,treatment,domestic,2026-05-06,N,2026-05-13,pilot_conversion_2026q2.csv
2026q2-conv-0012,2026q2-jeju-treatment-0012,jeju,treatment,tourist,2026-05-23,N,2026-05-30,pilot_conversion_2026q2.csv
2026q2-conv-0013,2026q2-jeju-treatment-0013,jeju,treatment,domestic,2026-06-13,N,2026-06-20,pilot_conversion_2026q2.csv
2026q2-conv-0014,2026q2-jeju-treatment-0014,jeju,treatment,tourist,2026-05-19,N,2026-05-26,pilot_conversion_2026q2.csv
2026q2-conv-0015,2026q2-jeju-treatment-0015,jeju,treatment,domestic,2026-05-07,N,2026-05-14,pilot_conversion_2026q2.csv
2026q2-conv-0016,2026q2-jeju-treatment-0016,jeju,treatment,domestic,2026-05-06,Y,2026-05-13,pilot_conversion_2026q2.csv
2026q2-conv-0017,2026q2-jeju-treatment-0017,jeju,treatment,tourist,2026-05-28,N,2026-06-04,pilot_conversion_2026q2.csv
2026q2-conv-0018,2026q2-jeju-treatment-0018,jeju,treatment,tourist,2026-06-09,N,2026-06-16,pilot_conversion_2026q2.csv
2026q2-conv-0019,2026q2-jeju-treatment-0019,jeju,treatment,tourist,2026-06-05,N,2026-06-12,pilot_conversion_2026q2.csv
2026q2-conv-0020,2026q2-jeju-treatment-0020,jeju,treatment,tourist,2026-06-11,N,2026-06-18,pilot_conversion_2026q2.csv
2026q2-conv-0021,2026q2-jeju-treatment-0021,jeju,treatment,tourist,2026-06-14,N,2026-06-21,pilot_conversion_2026q2.csv
2026q2-conv-0022,2026q2-jeju-treatment-0022,jeju,treatment,tourist,2026-05-17,N,2026-05-24,pilot_conversion_2026q2.csv
2026q2-conv-0023,2026q2-jeju-treatment-0023,jeju,treatment,domestic,2026-05-13,N,2026-05-20,pilot_conversion_2026q2.csv
2026q2-conv-0024,2026q2-jeju-treatment-0024,jeju,treatment,domestic,2026-06-13,N,2026-06-20,pilot_conversion_2026q2.csv
2026q2-conv-0025,2026q2-jeju-treatment-0025,jeju,treatment,domestic,2026-05-04,N,2026-05-11,pilot_conversion_2026q2.csv
2026q2-conv-0026,2026q2-jeju-treatment-0026,jeju,treatment,domestic,2026-05-21,N,2026-05-28,pilot_conversion_2026q2.csv
2026q2-conv-0027,2026q2-jeju-treatment-0027,jeju,treatment,domestic,2026-06-09,N,2026-06-16,pilot_conversion_2026q2.csv
2026q2-conv-0028,2026q2-jeju-treatment-0028,jeju,treatment,domestic,2026-05-20,N,2026-05-27,pilot_conversion_2026q2.csv
2026q2-conv-0029,2026q2-jeju-treatment-0029,jeju,treatment,domestic,2026-06-10,N,2026-06-17,pilot_conversion_2026q2.csv
2026q2-conv-0030,2026q2-jeju-treatment-0030,jeju,treatment,tourist,2026-06-12,N,2026-06-19,pilot_conversion_2026q2.csv
2026q2-conv-0031,2026q2-jeju-treatment-0031,jeju,treatment,tourist,2026-05-25,N,2026-06-01,pilot_conversion_2026q2.csv
2026q2-conv-0032,2026q2-jeju-treatment-0032,jeju,treatment,domestic,2026-05-16,Y,2026-05-23,pilot_conversion_2026q2.csv
2026q2-conv-0033,2026q2-jeju-treatment-0033,jeju,treatment,domestic,2026-05-22,N,2026-05-29,pilot_conversion_2026q2.csv
2026q2-conv-0034,2026q2-jeju-treatment-0034,jeju,treatment,tourist,2026-05-07,N,2026-05-14,pilot_conversion_2026q2.csv
2026q2-conv-0035,2026q2-jeju-treatment-0035,jeju,treatment,tourist,2026-06-07,N,2026-06-14,pilot_conversion_2026q2.csv
